"district_type";"district";"party";"rank_list";"name";"birth_year";"beruf";"pref_votes_abs"
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 5, JETZT - Liste Pilz (JETZT)";2;"Mauk, Maria";1966;"Angestellte";28
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 5, JETZT - Liste Pilz (JETZT)";3;"Fürst, Mag. (FH) Norbert";1959;"Unternehmer";8
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 5, JETZT - Liste Pilz (JETZT)";4;"Horvath, Franz";1966;"Selbstständig";7
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 5, JETZT - Liste Pilz (JETZT)";5;"Pointner, Astrid";1966;"Pensionistin";4
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 5, JETZT - Liste Pilz (JETZT)";6;"Kremser, Gerd";1982;"Bürokaufmann";9
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 5, JETZT - Liste Pilz (JETZT)";7;"Rihs, Johann";1961;"Angestellter";2
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";1;"Salzer, DI Irmtraud";1971;"Landschaftsplanerin";353
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";2;"Mölk, Mag. Gerhard";1983;"Jurist";85
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";3;"Kayer, Mirjam";1996;"Studentin";167
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";4;"Haider-Wallner, Anja";1979;"Unternehmerin";62
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";5;"Dujmovits, Dr. Rudolf";1957;"Universitätslehrer";73
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";6;"Dragschitz, Mag. Yasmin";1972;"AHS-Lehrerin";63
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";7;"Schmelzer, Elias";2000;"Student";58
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";8;"Tutschek, Mag. Dagmar";1962;"Geschäftsführerin";8
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";9;"Sterniczky, Dr. Aaron";1982;"Unternehmer";23
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";10;"Rosenberger, Ernestine";1992;"Studentin";13
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";11;"Weeber, Dr. Wolfgang";1970;"Jurist";16
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";12;"Frühwirth-Sulzer, Dagmar";1960;"Selbstständig";6
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";13;"Spitzmüller, Wolfgang";1969;"Landtagsabgeordneter";44
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 6, Die Grünen - Die Grüne Alternative (GRÜNE)";14;"Petrik, Mag. Regina";1963;"Landtagsabgeordnete";83
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 7, Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen. (WANDL)";1;"Richter, Sarah Maria";1978;"Bauingenieurin";15
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 8, Alternative Listen, KPÖ Plus, Linke und Unabhängige (KPÖ)";1;"Schmidt, Julian";1991;"Rezeptionist";10
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 8, Alternative Listen, KPÖ Plus, Linke und Unabhängige (KPÖ)";2;"Herlicska, Miriam";1989;"Angestellte";8
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 8, Alternative Listen, KPÖ Plus, Linke und Unabhängige (KPÖ)";3;"Gabriel, Rudolf";1968;"Arzt";6
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 8, Alternative Listen, KPÖ Plus, Linke und Unabhängige (KPÖ)";4;"Resch, Elfriede";1948;"Pensionistin";3
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 8, Alternative Listen, KPÖ Plus, Linke und Unabhängige (KPÖ)";5;"Uitz, Markus";1984;"Landwirt";1
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 8, Alternative Listen, KPÖ Plus, Linke und Unabhängige (KPÖ)";6;"Böcskei, Christian";1982;"Koch";5
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 8, Alternative Listen, KPÖ Plus, Linke und Unabhängige (KPÖ)";7;"Birkner, Martin";1972;"Angestellter";0
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 8, Alternative Listen, KPÖ Plus, Linke und Unabhängige (KPÖ)";8;"Kovács, Erich";1945;"Pensionist";5
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 9, Christliche Partei Österreichs (CPÖ)";1;"Graf, Thomas";1956;"Pensionist";11
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 9, Christliche Partei Österreichs (CPÖ)";2;"Hebling, DI Werner";1944;"Pensionist";9
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";1;"Köstinger, Elisabeth";1978;"Abgeordnete";5351
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";2;"Obernosterer, Gabriel";1955;"Hotelier";1434
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";3;"Kuss-Bergner, Angelika";1972;"VS-Lehrerin";1039
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";4;"Weidinger, Mag. Peter";1977;"Abgeordneter";2025
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";5;"Scheucher-Pichler, Mag. Elisabeth";1954;"Selbstständig";304
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";6;"Geier, Julian";1994;"Student";138
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";7;"Häusl-Benz, Mag. Silvia";1979;"Touristikkauffrau";45
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";8;"Egger, Rudolf";1971;"Angesteller";138
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";9;"Santer, Lara";1997;"Studentin";25
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";10;"Köchl, Michael";1990;"Land- und Forstwirt";72
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";11;"Rothmüller-Jannach, Ing.  Mag. Elisabeth";1965;"Fahrschulinhaberin";33
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";12;"Höfferer, MMag.  Dr. Meinrad";1978;"Angestellter";58
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";13;"Struger, Silvia";1977;"Landwirtin";30
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";14;"Eberhard, Manfred";1968;"Heeresbediensteter";37
